,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,VAC_DEC,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget,MIST_1_Fake,MIST_1_Real,MIST_2_Fake,MIST_2_Real,MIST_3_Fake,MIST_3_Real,MIST_4_Fake,MIST_4_Real,MIST_5_Fake,MIST_5_Real,MIST_6_Fake,MIST_6_Real,MIST_7_Fake,MIST_7_Real,MIST_8_Fake,MIST_8_Real,MIST_9_Fake,MIST_9_Real,MIST_10_Fake,MIST_10_Real,MIST_11_Fake,MIST_11_Real,MIST_12_Fake,MIST_12_Real,MIST_13_Fake,MIST_13_Real,MIST_14_Fake,MIST_14_Real,MIST_15_Fake,MIST_15_Real,MIST_16_Fake,MIST_16_Real,MIST_17_Fake,MIST_17_Real,MIST_18_Fake,MIST_18_Real,MIST_19_Fake,MIST_19_Real,MIST_20_Fake,MIST_20_Real,DEMREG_East Midlands,DEMREG_East of England,DEMREG_Greater London,DEMREG_North East,DEMREG_North West,DEMREG_Northern Ireland,DEMREG_Scotland,DEMREG_South East,DEMREG_South West,DEMREG_Wales,DEMREG_West Midlands,DEMREG_Yorkshire and The Humber,DEMSEX_Female,DEMSEX_Male,"DEMEDU_0-4 GCSE, O-levels, or equivalents",DEMEDU_2+ A levels or equivalents,"DEMEDU_5+ GCSE, O-levels, 1 A level, or equivalents",DEMEDU_Apprenticeship,DEMEDU_No academic qualifications,DEMEDU_Other,DEMEDU_Undergraduate or postgraduate degree,DEMWRK_Looking after the home,DEMWRK_Retired,DEMWRK_Student,DEMWRK_Unable to work,DEMWRK_Unemployed,DEMWRK_Working full-time,DEMWRK_Working part-time,DEMREL_Atheist or agnostic,DEMREL_Christian,DEMREL_Muslim,DEMREL_Other,"DEMINC_Over £100,000","DEMINC_Under £15,000","DEMINC_£15,000 to £24,999","DEMINC_£25,000 to £34,999","DEMINC_£35,000 to £44,999","DEMINC_£45,000 to £54,999","DEMINC_£55,000 to £64,999","DEMINC_£65,000 to £99,999",COV_INV_Yes,DEMNHS_No,DEMNHS_Yes,COV_SHIELD_No,COV_SHIELD_Yes,Q71_Conservative,Q71_Green Party,Q71_Labour,Q71_Liberal Democrat,Q71_Local independent,Q71_Other/Not eligible,Q71_Reform Party ,Q71_SNP,COV_TRUST_1_0,COV_TRUST_1_National television,COV_TRUST_2_0,COV_TRUST_2_Satellite / international television channels,COV_TRUST_3_0,COV_TRUST_3_Radio,COV_TRUST_4_0,COV_TRUST_4_Newspapers,COV_TRUST_5_0,"COV_TRUST_5_Social media (Facebook, Twitter, etc)",COV_TRUST_6_0,COV_TRUST_6_National public health authorities (such as the NHS or Public Health England / Wales),COV_TRUST_7_0,COV_TRUST_7_Healthcare workers,COV_TRUST_8_0,COV_TRUST_8_International health authorities (such as The World Health Organization),COV_TRUST_9_0,COV_TRUST_9_Government websites,COV_TRUST_10_0,COV_TRUST_10_The internet or search engines,COV_TRUST_11_0,COV_TRUST_11_Family and friends,COV_TRUST_12_0,"COV_TRUST_12_Work, school, or college",COV_TRUST_13_0,COV_TRUST_13_Other (please specify)
99,1,1,4,4,4,4,4,4,4,5.0,3,2,3,2,2,2,24,4,1,,5,5,5,5,3,5,5,4,,,1.0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
106,3,,4,4,4,4,4,1,1,2.0,2,2,1,2,2,1,54,2,1,1.0,4,2,3,2,4,2,3,2,1.0,1.0,0.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
112,2,,3,4,4,4,3,3,1,3.0,3,1,1,3,3,2,44,2,0,,4,5,4,1,1,2,4,3,,,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
124,1,1,4,4,4,4,3,4,1,5.0,2,2,3,2,2,2,71,2,0,,2,2,3,5,4,5,4,5,,,1.0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
129,1,1,4,4,4,4,2,4,1,1.0,2,1,1,2,2,2,49,4,1,,5,5,5,5,5,4,5,1,,,1.0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
136,1,1,4,4,4,3,3,3,1,3.0,3,1,1,3,2,2,50,2,0,,2,2,3,3,3,2,4,3,,,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
138,1,1,4,4,4,4,3,3,1,4.0,3,2,2,3,3,2,32,2,1,,1,1,4,5,5,5,5,4,,,1.0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
143,1,1,3,3,3,4,4,4,4,5.0,1,3,3,1,2,3,61,3,0,,5,5,5,4,5,5,5,5,,,1.0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
144,1,1,4,4,4,4,3,3,1,3.0,2,2,2,2,2,2,71,1,0,,2,2,4,4,4,5,2,3,,,1.0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
150,1,1,4,4,4,3,4,3,4,4.0,3,2,2,3,3,2,50,3,1,,5,4,5,5,5,5,5,4,,,1.0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
155,1,1,4,4,4,4,3,1,1,5.0,2,3,2,2,2,3,49,2,0,,3,2,4,4,4,4,4,5,,,1.0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
162,1,1,3,3,4,3,3,3,1,5.0,2,3,3,1,1,3,46,3,0,,5,5,5,5,5,5,5,5,,,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
165,1,1,3,4,4,4,4,1,1,5.0,2,2,2,2,2,2,48,3,0,,2,2,4,4,4,4,2,5,,,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
170,3,,4,4,4,4,4,4,1,4.0,2,2,2,2,2,2,48,2,1,1.0,4,5,3,2,1,3,5,3,1.0,1.0,0.0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
171,1,1,3,4,4,4,3,2,1,3.0,3,1,2,3,1,2,58,1,0,,4,2,4,4,4,3,3,3,,,1.0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
179,1,1,4,4,4,4,3,2,1,5.0,2,2,1,2,2,2,64,2,0,,1,2,3,4,4,5,4,4,,,1.0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
180,1,2,4,4,4,4,3,1,1,4.0,2,2,3,1,2,2,28,3,1,,4,4,4,4,5,5,3,4,,,1.0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
186,2,,4,4,4,4,4,4,1,5.0,2,2,2,3,3,2,60,3,0,,1,1,5,3,5,5,5,5,,,1.0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
191,1,1,4,3,4,4,4,4,1,3.0,2,2,1,2,3,2,30,2,0,,5,2,5,5,3,5,3,3,,,1.0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
193,1,1,4,4,4,4,3,4,1,3.0,3,1,1,3,3,1,61,1,0,,2,2,4,5,2,3,2,3,,,1.0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
195,1,2,4,3,3,4,2,2,1,3.0,2,3,2,2,2,3,57,2,0,,4,4,2,2,3,3,2,3,,,1.0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
197,1,1,4,4,4,4,2,2,1,4.0,2,2,3,2,2,3,65,3,0,,5,3,3,4,4,5,2,4,,,1.0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
199,1,1,4,4,4,4,4,2,2,4.0,1,2,2,1,1,3,51,2,1,,2,2,4,4,4,4,2,3,,,1.0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
200,1,1,4,4,4,4,4,1,1,3.0,2,1,1,2,2,1,70,2,0,,2,2,3,4,4,4,2,3,,,1.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
